Open Time,Open,High,Low,Close,Quote Asset Volume,Open Interest (USD),LSRatio,FearGreedIndex,TwitterIndex
2024-07-18 00:00:00,568.8,579.6,561.46,571.96,248771578.1593,21430432.55,1.2292,61.0,50.0
2024-07-19 00:00:00,571.96,599.33,565.0,593.59,519471623.5504,23614170.58,1.2272,60.0,50.0
2024-07-20 00:00:00,593.58,598.22,586.68,593.2,197795080.2355,22483894.51,1.2361,74.0,50.0
2024-07-21 00:00:00,593.2,603.97,580.79,602.47,325432867.0955,22634753.77,1.2568,74.0,50.0
2024-07-22 00:00:00,602.47,606.02,585.76,587.31,282332105.2345,23152081.04,1.263,70.0,50.0
2024-07-23 00:00:00,587.31,593.59,577.01,582.19,329834530.4771,22143592.12,1.2815,71.0,50.0
2024-07-24 00:00:00,582.19,589.01,570.0,574.78,222929148.5193,21806713.71,1.2589,69.0,50.0
2024-07-25 00:00:00,574.78,576.18,553.08,570.94,424204838.2782,21027368.45,1.2889,68.0,50.0
2024-07-26 00:00:00,570.93,583.1,570.4,581.04,218307427.4184,21614025.38,1.2645,68.0,50.0
2024-07-27 00:00:00,581.04,593.02,573.04,581.91,286472345.672,20912160.29,1.266,72.0,50.0
2024-07-28 00:00:00,581.92,585.34,574.79,584.21,137949198.4465,20784187.17,1.2401,71.0,50.0
2024-07-29 00:00:00,584.21,597.64,572.62,574.46,314183200.3819,20844187.07,1.2528,74.0,50.0
2024-07-30 00:00:00,574.46,588.52,566.83,588.34,232006671.186,21520017.94,1.2978,67.0,50.0
2024-07-31 00:00:00,588.32,593.34,575.17,576.79,320183626.3961,22433050.28,1.2732,61.0,50.0
2024-08-01 00:00:00,576.79,578.4,553.74,575.37,388922684.8739,21577531.13,1.2758,52.0,50.0
2024-08-02 00:00:00,575.38,577.97,540.71,543.15,461429157.2574,20841644.23,1.2894,57.0,50.0
2024-08-03 00:00:00,543.15,545.5,521.36,529.64,390674462.9418,20559828.48,1.3425,37.0,50.0
2024-08-04 00:00:00,529.7,532.32,486.14,496.92,494641297.4194,20549052.77,1.2701,34.0,50.0
2024-08-05 00:00:00,496.92,500.01,397.29,464.2,1826250486.4208,20194767.99,1.2528,26.0,50.0
2024-08-06 00:00:00,464.21,496.0,463.44,484.78,600915654.7222,25042110.55,1.1772,17.0,50.0
2024-08-07 00:00:00,484.77,497.43,468.06,474.99,493733405.3173,20473820.58,1.2222,29.0,50.0
2024-08-08 00:00:00,474.99,521.74,467.4,517.05,413532459.8364,17153085.01,1.1959,20.0,50.0
2024-08-09 00:00:00,517.04,518.32,498.53,508.87,263260197.7811,16468190.11,1.1867,48.0,50.0
2024-08-10 00:00:00,508.88,525.71,507.21,523.29,170450409.8496,16798987.2,1.2007,40.0,50.0
2024-08-11 00:00:00,523.3,536.7,502.3,503.68,350484160.8328,17525185.58,1.1734,39.0,50.0
2024-08-12 00:00:00,503.67,524.18,499.41,518.48,472971554.1135,17439929.35,1.1925,25.0,50.0
2024-08-13 00:00:00,518.49,527.77,513.0,524.24,378238050.9246,19096860.06,1.1687,31.0,50.0
2024-08-14 00:00:00,524.24,531.72,515.09,523.18,296143950.7364,18366997.63,1.2282,30.0,50.0
2024-08-15 00:00:00,523.19,533.97,509.88,518.87,355664792.8713,19146032.85,1.2533,29.0,50.0
