Open Time,Open,High,Low,Close,Quote Asset Volume,Open Interest (USD),LSRatio,FearGreedIndex,TwitterIndex
2024-07-18 16:00:00,3387.25,3422.67,3364.62,3404.34,1301358602.53301,1035309720.4577992,1.4438,61.0,50.0
2024-07-18 20:00:00,3404.34,3435.9,3395.61,3424.99,455799193.31041,1052220411.9319998,1.4486,61.0,50.0
2024-07-19 00:00:00,3424.99,3431.74,3381.61,3428.51,1054979680.91292,1047123594.4871995,1.4558,60.0,50.0
2024-07-19 04:00:00,3428.5,3449.47,3385.0,3390.59,1122669635.87927,1044976490.4095995,1.4534,60.0,50.0
2024-07-19 08:00:00,3390.59,3409.92,3375.25,3402.84,1091451383.25381,1019989069.8659998,1.4558,60.0,50.0
2024-07-19 12:00:00,3402.84,3473.98,3395.08,3463.59,2174392419.85333,1033615987.8799996,1.4516,60.0,50.0
2024-07-19 16:00:00,3463.44,3539.38,3463.0,3520.9,1965320660.39542,1067142763.5733994,1.4468,60.0,50.0
2024-07-19 20:00:00,3520.9,3525.66,3489.0,3502.18,829795905.29662,1089886361.0249991,1.4498,60.0,50.0
2024-07-20 00:00:00,3502.18,3507.0,3478.01,3493.78,578920215.07513,1058377973.0796984,1.4426,74.0,50.0
2024-07-20 04:00:00,3493.77,3506.94,3485.7,3485.99,414682836.25141,1065528356.8631988,1.448,74.0,50.0
2024-07-20 08:00:00,3485.99,3493.4,3478.84,3483.39,509307137.03216,1084415337.3323991,1.451,74.0,50.0
2024-07-20 12:00:00,3483.39,3507.07,3479.03,3501.82,584076224.94039,1090590470.2182992,1.4492,74.0,50.0
2024-07-20 16:00:00,3501.83,3538.38,3489.01,3513.21,1169230000.22594,1060177880.4830992,1.454,74.0,50.0
2024-07-20 20:00:00,3513.21,3525.26,3497.35,3516.03,413923438.01228,1058006822.9647,1.4546,74.0,50.0
2024-07-21 00:00:00,3516.03,3527.9,3502.13,3508.86,339050210.11411,1057566330.341,1.4516,74.0,50.0
2024-07-21 04:00:00,3508.86,3512.03,3472.54,3482.87,702615739.52822,1059563654.2273996,1.4534,74.0,50.0
2024-07-21 08:00:00,3482.87,3506.89,3481.72,3497.37,449228910.78341,1081939567.3828,1.454,74.0,50.0
2024-07-21 12:00:00,3497.37,3515.75,3481.0,3498.64,753296521.23005,1082885530.7099996,1.457,74.0,50.0
2024-07-21 16:00:00,3498.63,3524.0,3408.13,3489.0,2601604245.11857,1064137933.5749996,1.4612,74.0,50.0
2024-07-21 20:00:00,3489.01,3547.84,3480.92,3534.29,1288588177.87467,1043790761.5290992,1.4734,74.0,50.0
2024-07-22 00:00:00,3534.3,3562.33,3513.57,3515.48,955437145.60467,1052131749.6153992,1.4771,70.0,50.0
2024-07-22 04:00:00,3515.48,3522.54,3457.26,3477.02,1136423702.14002,1075846482.822899,1.4783,70.0,50.0
2024-07-22 08:00:00,3477.01,3502.61,3467.05,3498.6,662777015.65441,1070896244.6351995,1.4802,70.0,50.0
2024-07-22 12:00:00,3498.61,3505.88,3433.33,3455.7,1667806595.26734,1091463676.2119992,1.4956,70.0,50.0
2024-07-22 16:00:00,3455.7,3497.65,3442.65,3497.36,828537179.17009,1081760225.9848995,1.4925,70.0,50.0
2024-07-22 20:00:00,3497.37,3498.37,3421.0,3438.08,1518847877.44158,1075855670.9823987,1.4913,70.0,50.0
2024-07-23 00:00:00,3438.09,3489.86,3434.0,3473.57,1163300644.46717,1073575983.2995992,1.4845,71.0,50.0
2024-07-23 04:00:00,3473.57,3482.53,3423.36,3453.3,1359649221.06438,1087649974.454399,1.4795,71.0,50.0
2024-07-23 08:00:00,3453.3,3540.94,3450.78,3514.54,2648078298.16842,1087838744.7611992,1.4795,71.0,50.0
2024-07-23 12:00:00,3514.54,3517.28,3427.75,3452.96,4231488210.84643,1104358774.6012983,1.4486,71.0,50.0
2024-07-23 16:00:00,3452.96,3495.81,3384.61,3455.74,2902527279.6179,1113172554.2399988,1.4722,71.0,50.0
2024-07-23 20:00:00,3455.74,3500.0,3453.16,3481.01,1523935007.96072,1068613751.7197992,1.4414,71.0,50.0
2024-07-24 00:00:00,3481.01,3486.73,3425.76,3447.02,1019422167.39184,1067908807.7615992,1.4546,69.0,50.0
2024-07-24 04:00:00,3447.01,3450.68,3428.01,3445.74,593217603.14671,1044576827.2939992,1.4631,69.0,50.0
2024-07-24 08:00:00,3445.74,3471.32,3441.35,3458.4,728925650.43585,1067627142.4267992,1.4649,69.0,50.0
2024-07-24 12:00:00,3458.39,3470.68,3407.03,3413.5,1799700329.33276,1091747590.7120988,1.4624,69.0,50.0
2024-07-24 16:00:00,3413.5,3431.66,3355.05,3362.22,1744817852.79188,1153602813.5855987,1.4802,69.0,50.0
2024-07-24 20:00:00,3362.22,3375.39,3285.69,3334.24,1935850315.51301,1151926620.7866993,1.4876,69.0,50.0
